"type","durationMinutes","startTime","endTime","startNum","endNum","eventDO"
"Sub-Optimal",90.0000000024249,"2012-08-01 19:01:00","2012-08-01 20:31:00",42.61313,42.6133,4.80428571428571
"Sub-Optimal",165.000000001334,"2012-08-02 07:16:00","2012-08-02 10:01:00",42.61453,42.61484,4.74833333333333
"Sub-Optimal",480.000000000484,"2012-08-04 06:01:00","2012-08-04 14:01:00",42.61986,42.62078,4.15636363636364
"Sub-Optimal",284.999999999587,"2012-08-04 17:46:00","2012-08-04 22:31:00",42.62121,42.62175,4.3145
"Sub-Optimal",210.000000000679,"2012-08-12 14:46:00","2012-08-12 18:16:00",42.64278,42.64318,4.43933333333333
"Sub-Optimal",344.99999999498,"2012-08-13 00:01:00","2012-08-13 05:46:00",42.64384,42.64449,4.09
"Sub-Optimal",225.00000000046,"2012-08-15 03:16:00","2012-08-15 07:01:00",42.64969,42.65012,4.455625
"Sub-Optimal",225.00000000046,"2012-08-16 04:16:00","2012-08-16 08:01:00",42.65254,42.65297,4.433125
"Sub-Optimal",74.9999999989086,"2012-08-16 16:31:00","2012-08-16 17:46:00",42.65394,42.65408,4.815
"Sub-Optimal",89.9999999986903,"2012-08-16 19:46:00","2012-08-16 21:16:00",42.65431,42.65448,4.74166666666667
"Sub-Optimal",240.000000000242,"2012-09-13 15:46:00","2012-09-13 19:46:00",42.73057,42.73102,4.30235294117647
"Sub-Optimal",210.000000000679,"2012-09-17 17:46:00","2012-09-17 21:16:00",42.74175,42.74215,4.49428571428571
"Sub-Optimal",120.000000001988,"2012-09-18 12:31:00","2012-09-18 14:31:00",42.74389,42.74412,4.53444444444444
"Sub-Optimal",59.9999999991269,"2013-05-02 12:01:00","2013-05-02 13:01:00",43.36302,43.36313,4.594
"Sub-Optimal",225.00000000046,"2013-06-04 15:01:00","2013-06-04 18:46:00",43.45377,43.4542,3.6
"Sub-Optimal",360.000000002231,"2013-06-05 01:01:00","2013-06-05 07:01:00",43.45491,43.4556,4.168
"Sub-Optimal",239.999999996508,"2013-06-05 15:16:00","2013-06-05 19:16:00",43.45654,43.45699,4.31117647058824
"Sub-Optimal",59.9999999991269,"2013-06-06 02:16:00","2013-06-06 03:16:00",43.45779,43.45791,4.802
"Sub-Optimal",150.000000001552,"2013-06-07 16:31:00","2013-06-07 19:01:00",43.46216,43.46244,4.69181818181818
"Sub-Optimal",209.999999996944,"2013-06-11 06:46:00","2013-06-11 10:16:00",43.47201,43.4724,4.20533333333333
"Sub-Optimal",59.9999999991269,"2013-07-04 15:01:00","2013-07-04 16:01:00",43.53596,43.53607,4.588
"Sub-Optimal",195.000000000897,"2013-07-11 07:16:00","2013-07-11 10:31:00",43.55425,43.55463,4.65928571428571
"Sub-Optimal",314.999999999151,"2013-07-11 18:31:00","2013-07-11 23:46:00",43.55554,43.55614,4.39909090909091
"Sub-Optimal",299.999999995634,"2013-07-12 06:46:00","2013-07-12 11:46:00",43.55694,43.55751,4.48
"Sub-Optimal",330.000000002667,"2013-07-12 19:16:00","2013-07-13 00:46:00",43.55836,43.55899,4.40913043478261
"Sub-Optimal",284.999999999587,"2013-07-13 07:46:00","2013-07-13 12:31:00",43.55979,43.56033,3.9255
"Sub-Optimal",104.999999998472,"2013-07-13 19:46:00","2013-07-13 21:31:00",43.56116,43.56136,4.58
"Sub-Optimal",269.999999999806,"2013-07-16 11:16:00","2013-07-16 15:46:00",43.56841,43.56892,4.40105263157895
"Sub-Optimal",89.9999999986903,"2013-08-22 08:16:00","2013-08-22 09:46:00",43.66944,43.66961,4.78428571428571
"Sub-Optimal",89.9999999986903,"2013-08-22 11:31:00","2013-08-22 13:01:00",43.66981,43.66998,4.39857142857143
"Sub-Optimal",195.000000000897,"2014-06-08 13:46:00","2014-06-08 17:01:00",44.46459,44.46496,4.47071428571429
"Sub-Optimal",344.999999998714,"2014-06-09 00:46:00","2014-06-09 06:31:00",44.46584,44.4665,4.62416666666667
"Sub-Optimal",225.00000000046,"2014-07-05 10:31:00","2014-07-05 14:16:00",44.53819,44.53861,4.544375
"Sub-Optimal",60.0000000028615,"2014-07-07 15:31:00","2014-07-07 16:31:00",44.54424,44.54435,4.65
"Sub-Optimal",60.0000000028615,"2014-07-08 13:16:00","2014-07-08 14:16:00",44.54672,44.54683,4.51
"Sub-Optimal",240.000000000242,"2014-07-10 03:01:00","2014-07-10 07:01:00",44.55103,44.55149,4.63764705882353
"Sub-Optimal",240.000000000242,"2014-07-10 14:46:00","2014-07-10 18:46:00",44.55237,44.55283,4.35941176470588
"Sub-Optimal",284.999999999587,"2014-07-11 03:01:00","2014-07-11 07:46:00",44.55377,44.55431,4.6905
"Sub-Optimal",284.999999999587,"2014-07-11 15:46:00","2014-07-11 20:31:00",44.55522,44.55577,4.4955
"Sub-Optimal",149.999999997817,"2014-07-16 20:31:00","2014-07-16 23:01:00",44.56947,44.56975,4.43727272727273
"Sub-Optimal",420.000000005092,"2014-07-17 08:01:00","2014-07-17 15:01:00",44.57078,44.57158,4.18107142857143
"Sub-Optimal",119.999999998254,"2014-07-29 10:46:00","2014-07-29 12:46:00",44.60397,44.6042,4.61333333333333
"Sub-Optimal",210.000000000679,"2014-08-02 10:46:00","2014-08-02 14:16:00",44.61493,44.61533,4.65466666666667
"Sub-Optimal",240.000000000242,"2014-08-05 12:16:00","2014-08-05 16:16:00",44.62332,44.62377,4.40823529411765
"Sub-Optimal",135.00000000177,"2014-08-08 14:46:00","2014-08-08 17:01:00",44.63182,44.63208,4.55
"Sub-Optimal",74.9999999989086,"2014-08-25 09:46:00","2014-08-25 11:01:00",44.67783,44.67797,4.65333333333333
"Sub-Optimal",179.999999997381,"2014-08-27 10:31:00","2014-08-27 13:31:00",44.68339,44.68373,4.67461538461538
"Sub-Optimal",180.000000001115,"2014-08-28 11:16:00","2014-08-28 14:16:00",44.68622,44.68656,4.56384615384615
"Sub-Optimal",165.000000005068,"2015-05-09 09:01:00","2015-05-09 11:46:00",45.38185,45.38217,4.57583333333333
"Sub-Optimal",240.000000003977,"2015-06-01 04:31:00","2015-06-01 08:31:00",45.44435,45.44481,4.61588235294118
"Sub-Optimal",119.999999998254,"2016-06-08 08:46:00","2016-06-08 10:46:00",46.46675,46.46698,4.70111111111111
"Sub-Optimal",314.999999999151,"2016-06-27 09:46:00","2016-06-27 15:01:00",46.51892,46.51952,4.055
"Sub-Optimal",74.9999999989086,"2016-07-01 04:16:00","2016-07-01 05:31:00",46.52925,46.5294,4.67666666666667
"Sub-Optimal",284.999999999587,"2016-07-01 14:16:00","2016-07-01 19:01:00",46.5304,46.53094,4.252
"Sub-Optimal",525.000000003564,"2016-07-02 01:31:00","2016-07-02 10:16:00",46.53168,46.53268,3.98694444444444
"Sub-Optimal",149.999999997817,"2016-07-02 14:46:00","2016-07-02 17:16:00",46.53319,46.53348,4.60545454545455
"Sub-Optimal",195.000000000897,"2016-07-15 14:31:00","2016-07-15 17:46:00",46.56878,46.56915,4.35642857142857
"Sub-Optimal",89.9999999986903,"2016-07-17 15:31:00","2016-07-17 17:01:00",46.57437,46.57455,4.61714285714286
"Sub-Optimal",360.000000002231,"2016-07-24 08:46:00","2016-07-24 14:46:00",46.59278,46.59347,4.4292
"Sub-Optimal",465.000000004437,"2016-07-25 08:31:00","2016-07-25 16:16:00",46.59549,46.59638,3.9046875
"Sub-Optimal",119.999999998254,"2016-07-25 20:01:00","2016-07-25 22:01:00",46.59681,46.59703,4.54555555555556
"Sub-Optimal",375.000000002012,"2016-07-26 09:46:00","2016-07-26 16:01:00",46.59838,46.59909,4.68846153846154
"Sub-Optimal",345.000000002449,"2016-08-02 05:16:00","2016-08-02 11:01:00",46.61704,46.6177,4.47375
"Sub-Optimal",225.00000000046,"2016-08-24 11:16:00","2016-08-24 15:01:00",46.678,46.67843,4.64125
"Sub-Optimal",284.999999999587,"2017-07-05 15:16:00","2017-07-05 20:01:00",47.54147,47.54201,4.391
"Sub-Optimal",165.000000001334,"2017-07-18 12:31:00","2017-07-18 15:16:00",47.57677,47.57709,4.5625
"Sub-Optimal",464.999999996968,"2017-07-27 07:16:00","2017-07-27 15:01:00",47.60083,47.60171,4.0484375
"Sub-Optimal",240.000000003977,"2017-07-28 10:31:00","2017-07-28 14:31:00",47.60394,47.6044,4.62647058823529
"Sub-Optimal",75.0000000026432,"2017-07-29 12:01:00","2017-07-29 13:16:00",47.60685,47.60699,4.74833333333333
"Sub-Optimal",254.999999996289,"2017-07-30 10:46:00","2017-07-30 15:01:00",47.60945,47.60993,4.62166666666667
"Sub-Optimal",119.999999998254,"2017-08-21 18:16:00","2017-08-21 20:16:00",47.67058,47.67081,4.38888888888889
"Sub-Optimal",525.000000003564,"2017-08-22 04:31:00","2017-08-22 13:16:00",47.67175,47.67275,4.06944444444444
"Sub-Optimal",120.000000005723,"2017-08-23 12:01:00","2017-08-23 14:01:00",47.67534,47.67557,4.61555555555556
"Sub-Optimal",59.9999999991269,"2017-08-24 12:16:00","2017-08-24 13:16:00",47.67811,47.67823,4.654
"Sub-Optimal",315.000000002885,"2017-08-28 10:01:00","2017-08-28 15:16:00",47.68881,47.68941,4.28909090909091
"Sub-Optimal",135.00000000177,"2017-08-28 20:46:00","2017-08-28 23:01:00",47.69004,47.6903,4.736
"Sub-Optimal",164.999999997599,"2017-09-02 15:31:00","2017-09-02 18:16:00",47.70314,47.70346,4.50166666666667
"Sub-Optimal",254.999999996289,"2017-09-03 04:01:00","2017-09-03 08:16:00",47.70457,47.70505,4.78222222222222
"Sub-Optimal",300.000000003104,"2017-09-03 15:01:00","2017-09-03 20:01:00",47.70582,47.70639,3.5852380952381
"Sub-Optimal",119.999999998254,"2017-09-04 01:46:00","2017-09-04 03:46:00",47.70705,47.70728,4.56555555555556
"Sub-Optimal",255.000000000024,"2017-09-04 05:46:00","2017-09-04 10:01:00",47.70751,47.70799,4.52277777777778
"Sub-Optimal",254.999999996289,"2018-05-23 12:16:00","2018-05-23 16:31:00",48.42332,48.4238,4.42333333333333
"Sub-Optimal",119.999999998254,"2018-05-26 14:46:00","2018-05-26 16:46:00",48.43182,48.43205,4.68222222222222
"Sub-Optimal",119.999999998254,"2018-06-17 19:46:00","2018-06-17 21:46:00",48.49267,48.4929,4.74111111111111
"Sub-Optimal",60.0000000028615,"2018-06-18 13:31:00","2018-06-18 14:31:00",48.49469,48.49481,4.702
"Sub-Optimal",314.999999999151,"2018-06-20 10:16:00","2018-06-20 15:31:00",48.4998,48.5004,3.70681818181818
"Sub-Optimal",269.999999999806,"2018-06-24 14:31:00","2018-06-24 19:01:00",48.51125,48.51176,4.16736842105263
"Sub-Optimal",554.999999995658,"2018-06-25 01:16:00","2018-06-25 10:31:00",48.51247,48.51353,3.56605263157895
"Sub-Optimal",345.000000002449,"2018-06-25 14:16:00","2018-06-25 20:01:00",48.51396,48.51461,4.15125
"Sub-Optimal",539.999999999611,"2018-06-26 02:01:00","2018-06-26 11:01:00",48.5153,48.51633,4.29675675675676
"Sub-Optimal",179.999999997381,"2018-06-26 16:46:00","2018-06-26 19:46:00",48.51698,48.51732,4.60153846153846
"Sub-Optimal",375.000000002012,"2018-06-28 04:31:00","2018-06-28 10:46:00",48.52106,48.52178,4.38115384615385
"Sub-Optimal",344.999999998714,"2018-06-28 17:01:00","2018-06-28 22:46:00",48.52249,48.52315,3.48416666666667
"Sub-Optimal",554.999999999393,"2018-06-29 03:46:00","2018-06-29 13:01:00",48.52372,48.52477,3.62184210526316
"Sub-Optimal",255.000000000024,"2018-06-29 16:46:00","2018-06-29 21:01:00",48.5252,48.52569,4.37277777777778
"Sub-Optimal",450.000000000921,"2018-06-30 06:01:00","2018-06-30 13:31:00",48.52671,48.52757,4.64774193548387
"Sub-Optimal",89.9999999986903,"2018-06-30 18:01:00","2018-06-30 19:31:00",48.52808,48.52826,4.57571428571429
"Sub-Optimal",434.999999997405,"2018-07-01 06:16:00","2018-07-01 13:31:00",48.52948,48.53031,4.259
"Sub-Optimal",240.000000000242,"2018-07-01 18:46:00","2018-07-01 22:46:00",48.53091,48.53137,4.38058823529412
"Sub-Optimal",389.999999998059,"2018-07-02 07:16:00","2018-07-02 13:46:00",48.53234,48.53308,4.3062962962963
"Sub-Optimal",225.00000000046,"2018-07-02 19:16:00","2018-07-02 23:01:00",48.53371,48.53413,4.45625
"Sub-Optimal",269.999999999806,"2018-07-03 08:01:00","2018-07-03 12:31:00",48.53516,48.53568,4.15210526315789
"Sub-Optimal",180.000000001115,"2018-07-03 20:01:00","2018-07-03 23:01:00",48.53653,48.53687,4.35615384615385
"Sub-Optimal",285.000000003322,"2018-07-04 09:01:00","2018-07-04 13:46:00",48.53802,48.53856,4.056
"Sub-Optimal",314.999999999151,"2018-07-04 20:46:00","2018-07-05 02:01:00",48.53936,48.53996,4.34045454545455
"Sub-Optimal",74.999999995174,"2018-07-05 08:46:00","2018-07-05 10:01:00",48.54073,48.54087,4.45166666666667
"Sub-Optimal",150.000000001552,"2018-07-05 13:01:00","2018-07-05 15:31:00",48.54121,48.5415,4.73090909090909
